Timestamp,difficulty7DayAvg
2020-11-09 00:00:00,17400215369018.643
2020-11-10 00:00:00,16941707314088.215
2020-11-11 00:00:00,16787779609933
2020-11-12 00:00:00,16787779609933
2020-11-13 00:00:00,16787779609933
2020-11-14 00:00:00,16787779609933
2020-11-15 00:00:00,16787779609933
2020-11-16 00:00:00,16787779609933
2020-11-17 00:00:00,16823896638934.697
2020-11-18 00:00:00,16939471131740.125
2020-11-19 00:00:00,17055045624545.553
2020-11-20 00:00:00,17170620117350.982
2020-11-21 00:00:00,17286194610156.41
2020-11-22 00:00:00,17401769102961.84
2020-11-23 00:00:00,17517343595767.268
2020-11-24 00:00:00,17596801059571
2020-11-25 00:00:00,17596801059571
2020-11-26 00:00:00,17596801059571
2020-11-27 00:00:00,17596801059571
2020-11-28 00:00:00,17596801059571
2020-11-29 00:00:00,17596801059571
2020-11-30 00:00:00,17677047819492.434
2020-12-01 00:00:00,17899955485940.863
2020-12-02 00:00:00,18122863152389.29
2020-12-03 00:00:00,18345770818837.72
2020-12-04 00:00:00,18568678485286.15
2020-12-05 00:00:00,18791586151734.574
2020-12-06 00:00:00,19014493818183.004
2020-12-07 00:00:00,19157154724710
2020-12-08 00:00:00,19157154724710
2020-12-09 00:00:00,19157154724710
2020-12-10 00:00:00,19157154724710
2020-12-11 00:00:00,19157154724710
2020-12-12 00:00:00,19157154724710
2020-12-13 00:00:00,19157154724710
2020-12-14 00:00:00,19155370892598.973
2020-12-15 00:00:00,19085801440268.973
2020-12-16 00:00:00,19016231987938.973
2020-12-17 00:00:00,18946662535608.973
2020-12-18 00:00:00,18877093083278.973
2020-12-19 00:00:00,18807523630948.973
2020-12-20 00:00:00,18737954178618.973
2020-12-21 00:00:00,18670168558400
2020-12-22 00:00:00,18670168558400
2020-12-23 00:00:00,18670168558400
2020-12-24 00:00:00,18670168558400
2020-12-25 00:00:00,18670168558400
2020-12-26 00:00:00,18670168558400
2020-12-27 00:00:00,18670168558400
2020-12-28 00:00:00,18670168558400
2020-12-29 00:00:00,18660149356519.59
2020-12-30 00:00:00,18650067140790.875
2020-12-31 00:00:00,18639984925062.16
2021-01-01 00:00:00,18629902709333.445
2021-01-02 00:00:00,18619820493604.73
2021-01-03 00:00:00,18609738277876.02
2021-01-04 00:00:00,18599656062147.305
2021-01-05 00:00:00,18599593048299
2021-01-06 00:00:00,18599593048299
2021-01-07 00:00:00,18599593048299
2021-01-08 00:00:00,18599593048299
2021-01-09 00:00:00,18599593048299
2021-01-10 00:00:00,18708960713841.254
2021-01-11 00:00:00,18995792893282.254
2021-01-12 00:00:00,19282625072723.254
2021-01-13 00:00:00,19569457252164.254
2021-01-14 00:00:00,19856289431605.254
2021-01-15 00:00:00,20143121611046.25
2021-01-16 00:00:00,20429953790487.25
2021-01-17 00:00:00,20607418304386
2021-01-18 00:00:00,20607418304386
2021-01-19 00:00:00,20607418304386
2021-01-20 00:00:00,20607418304386
2021-01-21 00:00:00,20607418304386
2021-01-22 00:00:00,20607418304386
2021-01-23 00:00:00,20607418304386
2021-01-24 00:00:00,20625942262591.086
2021-01-25 00:00:00,20656815526266.227
2021-01-26 00:00:00,20687688789941.37
2021-01-27 00:00:00,20718562053616.51
2021-01-28 00:00:00,20749435317291.656
