Timestamp,difficulty30DayAvg
2021-03-21 01:00:00,21594536517235.402
2021-03-22 01:00:00,21608214223207.824
2021-03-23 01:00:00,21612928328026.625
2021-03-24 01:00:00,21617642432845.426
2021-03-25 01:00:00,21622356537664.227
2021-03-26 01:00:00,21627070642483.023
2021-03-27 01:00:00,21631784747301.824
2021-03-28 01:00:00,21636498852120.625
2021-03-29 01:00:00,21641212956939.426
2021-03-30 01:00:00,21645927061758.227
2021-03-31 01:00:00,21650641166577.023
2021-04-01 01:00:00,21655355271395.824
2021-04-02 01:00:00,21660069376214.625
2021-04-03 01:00:00,21704756903434.77
2021-04-04 01:00:00,21751867062315.605
2021-04-05 01:00:00,21798977221196.438
2021-04-06 01:00:00,21854435688230.824
2021-04-07 01:00:00,21910741085077.89
2021-04-08 01:00:00,21967046481924.957
2021-04-09 01:00:00,22023351878772.023
2021-04-10 01:00:00,22079657275619.09
2021-04-11 01:00:00,22135962672466.16
2021-04-12 01:00:00,22192268069313.227
2021-04-13 01:00:00,22248573466160.293
2021-04-14 01:00:00,22304878863007.36
2021-04-15 01:00:00,22361184259854.426
2021-04-16 01:00:00,22420160353424.934
2021-04-17 01:00:00,22491283809511.734
2021-04-18 01:00:00,22562407265598.535
2021-04-19 01:00:00,22630993206447.523
2021-04-20 01:00:00,22688207319749.293
2021-04-21 01:00:00,22745421433051.06
2021-04-22 01:00:00,22802635546352.824
2021-04-23 01:00:00,22859849659654.59
2021-04-24 01:00:00,22917063772956.36
2021-04-25 01:00:00,22974277886258.125
2021-04-26 01:00:00,23031491999559.89
2021-04-27 01:00:00,23088706112861.66
2021-04-28 01:00:00,23145920226163.426
2021-04-29 01:00:00,23203134339465.19
2021-04-30 01:00:00,23260348452766.957
2021-05-01 01:00:00,23317562566068.727
2021-05-02 01:00:00,23355526160411.453
2021-05-03 01:00:00,23273662327782.008
2021-05-04 01:00:00,23189375863491.875
2021-05-05 01:00:00,23105089399201.742
2021-05-06 01:00:00,23020802934911.61
2021-05-07 01:00:00,22936516470621.477
2021-05-08 01:00:00,22852230006331.34
2021-05-09 01:00:00,22767943542041.207
2021-05-10 01:00:00,22683657077751.074
2021-05-11 01:00:00,22599370613460.94
2021-05-12 01:00:00,22515084149170.81
2021-05-13 01:00:00,22430797684880.676
2021-05-14 01:00:00,22433794031350.363
2021-05-15 01:00:00,22497428962137.395
2021-05-16 01:00:00,22558393196200.99
2021-05-17 01:00:00,22607210067748.29
2021-05-18 01:00:00,22656026939295.586
2021-05-19 01:00:00,22704843810842.887
2021-05-20 01:00:00,22753660682390.188
2021-05-21 01:00:00,22802477553937.49
2021-05-22 01:00:00,22851294425484.79
2021-05-23 01:00:00,22900111297032.086
2021-05-24 01:00:00,22948928168579.387
2021-05-25 01:00:00,22997745040126.688
2021-05-26 01:00:00,23046561911673.99
2021-05-27 01:00:00,23095378783221.29
2021-05-28 01:00:00,23144195654768.586
2021-05-29 01:00:00,23193012526315.887
2021-05-30 01:00:00,23241829397863.188
2021-05-31 01:00:00,23162908198013.94
2021-06-01 01:00:00,23097683687932.58
2021-06-02 01:00:00,23112313182422.047
2021-06-03 01:00:00,23126942676911.51
2021-06-04 01:00:00,23141572171400.98
2021-06-05 01:00:00,23156201665890.445
2021-06-06 01:00:00,23170831160379.914
2021-06-07 01:00:00,23185460654869.38
2021-06-08 01:00:00,23200090149358.848
2021-06-09 01:00:00,23214719643848.312
2021-06-10 01:00:00,23229349138337.777
2021-06-11 01:00:00,23243978632827.246
2021-06-12 01:00:00,23258608127316.71
2021-06-13 01:00:00,23185954811046.36
2021-06-14 01:00:00,23045624150703.68
2021-06-15 01:00:00,22875167598609.68
2021-06-16 01:00:00,22704711046515.68
2021-06-17 01:00:00,22534254494421.68
2021-06-18 01:00:00,22363797942327.68
2021-06-19 01:00:00,22193341390233.68
2021-06-20 01:00:00,22022884838139.68
2021-06-21 01:00:00,21852428286045.68
2021-06-22 01:00:00,21681971733951.68
2021-06-23 01:00:00,21511515181857.68
2021-06-24 01:00:00,21341058629763.68
2021-06-25 01:00:00,21170602077669.68
2021-06-26 01:00:00,21000145525575.68
2021-06-27 01:00:00,20829688973481.68
2021-06-28 01:00:00,20659232421387.68
2021-06-29 01:00:00,20488775869293.68
2021-06-30 01:00:00,20446057388596.227
2021-07-01 01:00:00,20408892737089.926
2021-07-02 01:00:00,20371728085583.625
2021-07-03 01:00:00,20334563434077.324
2021-07-04 01:00:00,20154134476887.8
2021-07-05 01:00:00,19931310980261.4
2021-07-06 01:00:00,19708487483635
2021-07-07 01:00:00,19485663987008.6
2021-07-08 01:00:00,19262840490382.2
2021-07-09 01:00:00,19040016993755.8
2021-07-10 01:00:00,18817193497129.4
2021-07-11 01:00:00,18594370000503
2021-07-12 01:00:00,18371546503876.6
2021-07-13 01:00:00,18148723007250.2
2021-07-14 01:00:00,17932938270378.78
2021-07-15 01:00:00,17747279425258.68
2021-07-16 01:00:00,17561620580138.582
2021-07-17 01:00:00,17375961735018.48
2021-07-18 01:00:00,17189820070736.95
2021-07-19 01:00:00,16981146845588.65
2021-07-20 01:00:00,16772473620440.35
2021-07-21 01:00:00,16563800395292.05
2021-07-22 01:00:00,16355127170143.75
2021-07-23 01:00:00,16146453944995.45
2021-07-24 01:00:00,15937780719847.15
2021-07-25 01:00:00,15729107494698.85
2021-07-26 01:00:00,15520434269550.55
2021-07-27 01:00:00,15311761044402.25
2021-07-28 01:00:00,15103087819253.95
2021-07-29 01:00:00,14894414594105.65
2021-07-30 01:00:00,14685741368957.35
2021-07-31 01:00:00,14477068143809.05
2021-08-01 01:00:00,14289947075698.375
2021-08-02 01:00:00,14108735470001.242
2021-08-03 01:00:00,14070788169987.336
2021-08-04 01:00:00,14075235409410.303
2021-08-05 01:00:00,14079682648833.27
2021-08-06 01:00:00,14084129888256.236
2021-08-07 01:00:00,14088577127679.201
2021-08-08 01:00:00,14093024367102.168
2021-08-09 01:00:00,14097471606525.135
2021-08-10 01:00:00,14101918845948.102
2021-08-11 01:00:00,14106366085371.068
2021-08-12 01:00:00,14110813324794.035
2021-08-13 01:00:00,14115260564217.002
2021-08-14 01:00:00,14147318424675.25
2021-08-15 01:00:00,14187087359476.684
2021-08-16 01:00:00,14226856294278.117
2021-08-17 01:00:00,14267108048240.98
2021-08-18 01:00:00,14329891363070.615
2021-08-19 01:00:00,14392674677900.248
2021-08-20 01:00:00,14455457992729.88
2021-08-21 01:00:00,14518241307559.514
2021-08-22 01:00:00,14581024622389.148
2021-08-23 01:00:00,14643807937218.781
2021-08-24 01:00:00,14706591252048.414
2021-08-25 01:00:00,14769374566878.049
2021-08-26 01:00:00,14861326188763.342
2021-08-27 01:00:00,14992740814312.176
2021-08-28 01:00:00,15124155439861.008
2021-08-29 01:00:00,15255570065409.842
2021-08-30 01:00:00,15386984690958.676
2021-08-31 01:00:00,15496847159469.883
2021-09-01 01:00:00,15600800165567.55
2021-09-02 01:00:00,15704753171665.217
2021-09-03 01:00:00,15808706177762.883
2021-09-04 01:00:00,15912659183860.55
2021-09-05 01:00:00,16016612189958.217
2021-09-06 01:00:00,16120565196055.883
2021-09-07 01:00:00,16224518202153.55
2021-09-08 01:00:00,16328471208251.217
2021-09-09 01:00:00,16458719362470.352
2021-09-10 01:00:00,16589343161662.652
2021-09-11 01:00:00,16719966960854.951
2021-09-12 01:00:00,16850590760047.252
2021-09-13 01:00:00,16953603938204.271
2021-09-14 01:00:00,17048906042018.104
2021-09-15 01:00:00,17144208145831.938
2021-09-16 01:00:00,17239510249645.771
2021-09-17 01:00:00,17334812353459.604
2021-09-18 01:00:00,17430114457273.438
2021-09-19 01:00:00,17525416561087.271
2021-09-20 01:00:00,17620718664901.105
2021-09-21 01:00:00,17716020768714.938
2021-09-22 01:00:00,17818584194795.297
2021-09-23 01:00:00,17933302442930.496
2021-09-24 01:00:00,18048020691065.7
2021-09-25 01:00:00,18133570632145.24
2021-09-26 01:00:00,18179657569561.24
2021-09-27 01:00:00,18225744506977.24
2021-09-28 01:00:00,18271831444393.24
2021-09-29 01:00:00,18317918381809.24
2021-09-30 01:00:00,18364005319225.24
2021-10-01 01:00:00,18410092256641.24
2021-10-02 01:00:00,18456179194057.24
2021-10-03 01:00:00,18502266131473.24
2021-10-04 01:00:00,18548353068889.24
2021-10-05 01:00:00,18594822657538.918
2021-10-06 01:00:00,18670756391182.117
2021-10-07 01:00:00,18746690124825.32
2021-10-08 01:00:00,18822623858468.516
2021-10-09 01:00:00,18872262443990.25
2021-10-10 01:00:00,18921525384538.816
2021-10-11 01:00:00,18970788325087.383
2021-10-12 01:00:00,19020051265635.95
2021-10-13 01:00:00,19069314206184.516
2021-10-14 01:00:00,19118577146733.082
2021-10-15 01:00:00,19167840087281.65
2021-10-16 01:00:00,19217103027830.215
2021-10-17 01:00:00,19266365968378.785
2021-10-18 01:00:00,19315628908927.35
2021-10-19 01:00:00,19365702409512.598
2021-10-20 01:00:00,19421279186136.363
2021-10-21 01:00:00,19476855962760.13
