Timestamp,hash-rate
2021-03-19 01:00:00,158357615.36380938
2021-03-20 01:00:00,167389189.0439892
2021-03-21 01:00:00,169563074.61598912
2021-03-22 01:00:00,164128360.68598944
2021-03-23 01:00:00,174997788.54598877
2021-03-24 01:00:00,165215303.47198936
2021-03-25 01:00:00,167389189.0439892
2021-03-26 01:00:00,147824218.8959905
2021-03-27 01:00:00,172823902.97398886
2021-03-28 01:00:00,172823902.97398886
2021-03-29 01:00:00,164128360.68598944
2021-03-30 01:00:00,158693646.7559898
2021-03-31 01:00:00,170650017.401989
2021-04-01 01:00:00,157606703.96998987
2021-04-02 01:00:00,160517766.38346806
2021-04-03 01:00:00,150672055.73110902
2021-04-04 01:00:00,167924581.1965032
2021-04-05 01:00:00,179426264.84009933
2021-04-06 01:00:00,165624244.467784
2021-04-07 01:00:00,180576433.20445892
